chapter_code,chapter,subchapter,assay_refname,text_pattern_match,assay_source,notes,assay_class,mesh_indication,ind_phenotype_cmpd,ind_phenotype_cmpd_chemblid,pos_control_cmpd,pos_control_cmpd_chemblid
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Hypoxia Tolerance Test in Rats,,Hock_2016,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Middle Cerebral Artery Occlusion,Middle\W?Cerebral\W?Artery\W?Occlusion|\WMCAO\W|\WMCA\W?Occlusion,Hock_2016,Not just in Rat,in-vivo phenotypic,ARTERIAL OCCLUSIVE DISEASES|BRAIN INFARCTION|ISCHEMIA|BRAIN DISEASES|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Photochemically Induced Focal Cerebral Ischemia in Rats,Photochemically\W?Induced.*Cerebral.*Ischemia,Hock_2016,,in-vivo phenotypic,ISCHEMIA|BRAIN DISEASES|NERVOUS SYSTEM DISEASES,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Microdialysis and Neuroprotection Experiments After Global Ischemia in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Measurement of Local Cerebral Blood Flow and Glucose Utilization in Rats ,,Vogel_assay_2008,,in-vivo ADME,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Cerebral Blood Flow and in Ischemic Skeletal Muscle in Rats Laser Doppler Effect,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,General Ischemia Reperfusion,Ischemia|Reperfusion,phenotype,,in-vivo phenotypic,ISCHEMIA,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Traumatic Brain Injury,Traum.*Brain\W?Injury,Hock_2016,,in-vivo phenotypic,"BRAIN INJURIES, TRAUMATIC",,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Cerebral Blood Flow Measured by NMRI,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Perfused Hindquarter Preparation with Sympathetic Nerve Stimulation in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Peripheral Blood Flow in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Mesenteric Blood Flow in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Effect on Contractile Force of Ischemic Muscle,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Angiotensin II Induced Aortic Aneurysm in Mice,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Subcutaneous Air Sac Model for Angiogenesis.,angiogen.*Air\W?Pouch|Air\W?Pouch.*angiogen,Hock_2016,Note the overlap between angiogenesis and chronic inflammation,in-vivo phenotypic,ANGIOGENESIS INHIBITORS,,,,
A,Cardiovascular Activity,Effects on Blood Supply and on Arterial and Venous Tonus,Mesenteric Window Angiogenesis Model,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
A,Cardiovascular Activity,Cardioprotective Activity,General Cardioprotective Activity,Cardioprotect,phenotype,,in-vivo phenotypic,CARDIOVASCULAR DISEASES,,,,
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,FeCl3-Induced Thrombosis,FeCl3,Vogel_assay_2008,,in-vivo phenotypic,THROMBOSIS|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,,,,
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Laser-Induced Thrombosis,laser.*thromb|thromb.*laser,Hock_2016,,in-vivo phenotypic,,,,ASPIRIN|PENTOXIFYLLINE,CHEMBL25|CHEMBL628
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Photochemical-Induced Thrombosis,Photochemical.*Thromb,Hock_2016,,in-vivo phenotypic,THROMBOSIS|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,FLUORESCEIN,CHEMBL177756,HEPARIN SODIUM|ASPIRIN|INDOMETHACIN,CHEMBL1201657|CHEMBL25|CHEMBL6
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Wire Coil-Induced Thrombosis,Wire\W?Coil,Vogel_assay_2008,,in-vivo phenotypic,THROMBOSIS|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,,,,
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Arteriovenous Shunt Thrombosis,Shunt,Vogel_assay_2008,,in-vivo phenotypic,THROMBOSIS|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,,,,
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Disseminated Intravascular Coagulation DIC Model,Disseminated\W?Intravascular\W?Coagulation|\WDIC\W,Vogel_assay_2008,,in-vivo phenotypic,THROMBOSIS|VASCULAR DISEASES|CARDIOVASCULAR DISEASES,,,,
B,Pharmacological Assays in Thrombosis and Haemostasis,Thrombosis,Microvascular Thrombosis in Trauma Models,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Epileptic Activity,Pilocarpine Model of Epilepsy,pilocarpine.*epilep|epilep.*pilocarpine|pilocarpine.*seizure|seizure.*pilocarpine|convuls.*pilocarpine,Hock_2016,,in-vivo phenotypic,EPILEPSY,PILOCARPINE|CHLOROLITHIUM,CHEMBL550|CHEMBL69710,DIAZEPAM,CHEMBL12
E,Psychotropic and Neurotropic Activity,Anti-Epileptic Activity,Self-Sustained Status Epilepticus,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Epileptic Activity,Rat Model of Cortical Dysplasia,,Hock_2016,,in-vivo phenotypic,MALFORMATIONS OF CORTICAL DEVELOPMENT,METHYLAZOXYMETHANOL(MAM)|KAINIC ACID|VALPROIC ACID,None|CHEMBL275040|CHEMBL109,,
E,Psychotropic and Neurotropic Activity,Anti-Epileptic Activity,"Genetic Animal Models of Epilepsy: Tremor rat (tm/tm), NER rat strain, genetic epileptic WAG/RiJ rat, Genetic Absence Epilepsy Rat (GAERS), epileptic rat mutant, kindling-prone and kindling-resistant rat, Flathead rat (FH), Wakayama epileptic rat (WER), tottering mouse, leaner mutant mouse, quaking mouse, stargazer mutant mouse, lethargic (lh/lh) mouse, audiogenic seizure suceptible mouse, Wistar Audiogenic Rat (WAR), genetically epilepsy-prone rat (GEPR)",WAG|Absence.*Epilep|kindling,Vogel_assay_2008,,in-vivo phenotypic,EPILEPSY,,,,
E,Psychotropic and Neurotropic Activity,Anti-Epileptic Activity,General Anti-Epileptic Activity,Epile|Convuls,phenotype,,in-vivo phenotypic,EPILEPSY|SEIZURES,,,,
E,Psychotropic and Neurotropic Activity,Hypnotic Activity,Potentiation of Hexobarbital Sleeping Time,Hexo\W?barbital|righting\W?reflex.*hypno|hypno.*righting\W?reflex,Hock_2016,The loss of righting reflex is measured as criterion for the duration of hexobarbital-induced sleeping time.,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS|SLEEP INITIATION AND MAINTENANCE DISORDERS,HEXOBARBITAL|THIOPENTAL,CHEMBL7728|CHEMBL441,DIAZEPAM,CHEMBL12
E,Psychotropic and Neurotropic Activity,Hypnotic Activity,Experimental Insomnia in Rats,insomnia|sleep.*wake|sleep\Wmodel|EEG\WEMG.*model|sleep\Wwake.*electroencephalogram|electroencephalogram\Welectromyogram,Hock_2016,,in-vivo phenotypic,SLEEP INITIATION AND MAINTENANCE DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,General Hypnotic Activity,General Hypnotic Activity,hypnot,phenotype,,in-vivo phenotypic,HYPNOSIS,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Influence on Behavior of the Cotton Rat,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Artificial Hibernation in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Catalepsy in Rodents ,catalep|\Wring\W.*immobil|immobil.*\Wring\W|paw\Wtest|bar\Wtest,Hock_2016,,in-vivo phenotypic,SEIZURES,,,HALOPERIDOL,CHEMBL54
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Pole Climb Avoidance in Rats,pole\W?climb,Hock_2016,Assay used to separate neuroleptics fron anxiolytics,in-vivo phenotypic,ANTIPSYCHOTIC AGENTS,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Brain Self Stimulation,self\W?stimulation,Hock_2016,The relative potency observed in this test of clinically efficacious drugs parallels their potency in the treatment of schizophrenia,in-vivo phenotypic,SCHIZOPHRENIA,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Prepulse Inhibition of Startle Response,Prepulse\W?Inhibition,Vogel_assay_2008,,in-vivo phenotypic,SCHIZOPHRENIA|PSYCHOTIC DISORDERS|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,N40 Sensory Gating,Sensory\W?Gat,Vogel_assay_2008,,in-vivo phenotypic,SCHIZOPHRENIA|PSYCHOTIC DISORDERS|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Latent Inhibition,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Amphetamine Group Toxicity,Amphetamine.*Toxic,Hock_2016,,in-vivo phenotypic,AMPHETAMINE-RELATED DISORDERS|PSYCHOTIC DISORDERS|MENTAL DISORDERS,,,CHLORPROMAZINE|HALOPERIDOL,CHEMBL71|CHEMBL54
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Inhibition of Amphetamine Stereotypy in Rats,amphetamine.*stereotyp|stereotyp.*amphetamine,Hock_2016,,in-vivo phenotypic,AMPHETAMINE-RELATED DISORDERS|PSYCHOTIC DISORDERS|MENTAL DISORDERS,,,CHLORPROMAZINE|HALOPERIDOL,CHEMBL71|CHEMBL54
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Inhibition of Apomorphine Climbing in Mice,Apomorphine.*Climbing|Climbing.*Apomorphine,Hock_2016,,in-vivo phenotypic,SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,APOMORPHINE,CHEMBL53,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Inhibition of Apomorphine Stereotypy in Rats ,apomorphine.*stereotyp|stereotyp.*apomorphine,Hock_2016,,in-vivo phenotypic,SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,APOMORPHINE,CHEMBL53,CHLORPROMAZINE|HALOPERIDOL,CHEMBL71|CHEMBL54
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Yawning-Penile Erection Syndrome in Rats,apomorphine.*penile\W?erection|penile\W?erection.*apomorphine,Hock_2016,,in-vivo phenotypic,SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,APOMORPHINE|PHYSOSTIGMINE,CHEMBL53|CHEMBL94,CHLORPROMAZINE|HALOPERIDOL,CHEMBL71|CHEMBL54
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Inhibition of Mouse Jumping,dopa.*jump|jump.*dopa,Hock_2016,,in-vivo phenotypic,SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,DEXTROAMPHETAMINE|LEVODOPA,CHEMBL612|CHEMBL1009,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Antagonism Against Dizocilpine (MK-801) Induced Behavior,dizocilpine.*psycho|psycho.*dizocilpine|MK\W?801.*psycho|psycho.*MK\W?801,Hock_2016,,in-vivo phenotypic,SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,DIZOCILPINE,CHEMBL284237,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Phencyclidine Model of Psychosis,Phencyclidine,Hock_2016,,in-vivo phenotypic,PSYCHOTIC DISORDERS|SCHIZOPHRENIA|BIPOLAR DISORDER|DEMENTIA|DEPRESSIVE DISORDER|MENTAL DISORDERS,PHENCYCLIDINE,CHEMBL275528,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Purposeless Chewing in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Models of Tardive Dyskinesia,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,Single Unit Recording of A9 and A10 Midbrain Dopaminergic Neurons,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,In Vivo Voltammetry,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Neuroleptic Activity,General Antipsychotic and Neuroleptic Activity,Psychot|Neurolep,phenotype,,in-vivo phenotypic,PSYCHOTIC DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Despair Swim Test,Despair\W?Swim|forced.*swim,Hock_2016,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Tail Suspension Test in Mice,Tail\W?Suspension,Hock_2016,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Learned Helplessness in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Muricide Behavior in Rats,Muricid,Hock_2016,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,"5,7-dihydroxytryptamine|p-chlorophenylalanine",CHEMBL26726|None
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Behavioral Changes After Neonatal Clomipramine Treatment,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Chronic Stress Model of Depression,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Novelty Induced Hypophagia Test,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Reduction of Submissive Behavior,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Animal Models of Bipolar Disorder,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Animal Models of Obsessive Compulsive Disorder,Obsessive\W?Compulsive|\Wocd\W,Hock_2016,,in-vivo phenotypic,OBSESSIVE-COMPULSIVE DISORDER|MENTAL DISORDERS,8-OH-DPAT,CHEMBL56,CLOMIPRAMINE,CHEMBL415
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Antidepressant Like Activity in Differential Reinforcement of Low Rate DRL 72-Second Schedule,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Potentiation of Norepinephrine Toxicity,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Compulsive Gnawing in Mice,Gnawing,Vogel_assay_2008,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Apomorphine Induced Hypothermia in Mice,Apomorphine.*Hypothermia|Hypothermia.*Apomorphine,Vogel_assay_2008,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Tetrabenazine TBZ Antagonism in Mice,Tetrabenazine|TBZ,Vogel_assay_2008,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Reserpine Induced Hypothermia,Reserpine.*Hypothermia,Vogel_assay_2008,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,General Hypothermia,Hypotherm,phenotype,,in-vivo phenotypic,"HYPOTHERMIA, INDUCED",,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,5-Hydroxytryptophan Potentiation,Hydroxytryptophan|\WHTP\W,Vogel_assay_2008,Equivalent assays for rats or mice considered together,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Yohimbine Toxicity Enhancement,Yohimbine.*Mortal|Yohimbine.*Lethal|Depress.*Yohimbine|Yohimbine.*Depress|Yohimbine.*Toxic,Vogel_assay_2008,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Tryptamine Seizure Potentiation in Rats,\WTryptamine\W.*Convuls|Convuls.*\WTryptamine\W|\WTryptamine\W.*Seizure|Seizure.*\WTryptamine\W,Vogel_assay_2008,,in-vivo phenotypic,SEIZURES,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Serotonin Syndrome in Rats,Serotonin\WSyndrome|serotonin\W?challenge|forepaw\W?treading|\WFPT\W|flat\W?body\W?posture|\WFBP\W|head\W?twitch|lower\W?lip\W?retraction|\WLLR\W,Vogel_assay_2008,"Serotonin receptors include 5-hydroxytryptophan (5-HT), serotonin transporter (SERT), quipazine, mescaline, methergoline, Dimethoxy-4-iodoamphetamine (DOI), N,N-Dimethyltryptamine (DMT or N,N-DMT), cyproheptadine",in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Hypermotility in Olfactory Bulbectomized Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,Sexual Behavior in Male Rats,Sexual\W?Behaviou?r,Vogel_assay_2008,,in-vivo phenotypic,"SEXUAL DYSFUNCTION, PHYSIOLOGICAL|DEPRESSIVE DISORDER|MENTAL DISORDERS",,,,
E,Psychotropic and Neurotropic Activity,Anti-Depressant Activity,General Anti-Depressant Activity,Depressant|Depression|Depressive,phenotype,,in-vivo phenotypic,DEPRESSIVE DISORDER|MENTAL DISORDERS,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Tremorine and Oxotremorine Antagonism,Tremorine,Vogel_assay_2008,,in-vivo phenotypic,PARKINSON DISEASE,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,"N-methyl4phenyl1,2,3,6tetrahydropyridine MPTP Model of Parkinsons Disease",MPTP,Vogel_assay_2008,,in-vivo phenotypic,PARKINSON DISEASE,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Reserpine Antagonism,Reserpine,Hock_2016,,in-vivo phenotypic,PARKINSON DISEASE,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Circling Behavior in Nigrostriatal Lesioned Rats,Circling\W?Behaviou?r,Vogel_assay_2008,,in-vivo phenotypic,PARKINSON DISEASE,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Elevated Body Swing Test ,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Skilled Paw Reaching in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,Stepping Test in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Anti-Parkinsonism Activity,General Anti-Parkinson Activity,Parkin,phenotype,,in-vivo phenotypic,PARKINSON DISEASE,,,,
E,Psychotropic and Neurotropic Activity,Animal Models of Neurological Diseases,3-Nitropropionic Acid Animal Model of Huntingtons Disease,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Animal Models of Neurological Diseases,Quinolinic Acid Rat Model of Huntingtons Disease,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Animal Models of Neurological Diseases,Models of Wilsons Disease Copper Metabolism,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,General Anesthesia,Screening of Intravenous Anesthetics Righting Reflex,righting\Wreflex.*an[a]?esth|an[a]?esth.*righting\Wreflex,Hock_2016,,in-vivo phenotypic,ANESTHESIA,,,,
E,Psychotropic and Neurotropic Activity,General Anesthesia,Electroencephalograph EEG Threshold Test in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,mCPP trazadone 1-(3-chlorophenyl)piperazine Induced Anxiety in Rats,mCPP|chloro?phenyl\W?piperazine,Vogel_assay_2008,,in-vivo phenotypic,ANXIETY,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Acoustic Startle Response in Rats,Acoustic\W?Startle,Hock_2016,,in-vivo phenotypic,"ANXIETY|REFLEX, STARTLE",,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Unconditioned Conflict Procedure Vogel Test,Vogel,Vogel_assay_2008,,in-vivo phenotypic,ANXIETY,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Novelty-Suppressed Feeding,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Shock Probe Conflict Procedure,Shock.*Conflict|Conflict.*Shock,Vogel_assay_2008,,in-vivo phenotypic,ANXIETY,,,,
E,Psychotropic and Neurotropic Activity,Tests for Anxiolytic Activity,Ultrasound Induced Defensive Behavior in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,NMRI Methods in Psychoneuropharmacology,NMRI Study of Experimental Allergic Encephalomyelitis in Rats,,Hock_2016,,in-vivo phenotypic,"ENCEPHALOMYELITIS, AUTOIMMUNE, EXPERIMENTAL",,,,
E,Psychotropic and Neurotropic Activity,NMRI Methods in Psychoneuropharmacology,NMRI Study of 3-Nitropropionic Acid Induced Neurodegeneration in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
E,Psychotropic and Neurotropic Activity,NMRI Methods in Psychoneuropharmacology,NMRI Studies of Brain Activation in Rats,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Step down Inhibitory Avoidance Learning,Step\W?Down,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Step through Inhibitory Avoidance Learning,Step\W?Through,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Two Compartment Test Inhibitory Avoidance Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Up Hill Avoidance Inhibitory-Avoidance Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Trial-to-criteria Inhibitory-Avoidance Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Scopolamine Induced Amnesia in Mice Inhibitory-Avoidance Learning,Scopolamine.*avoidance|avoidance.*scopolamine|Scopolamine.*Amnesi|Amnesi.*Scopolamine,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,General Inhibitory (Passive) Avoidance Learning,Passive\W?Avoidance|Inhibitory\W?Avoidance,phenotype,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Runway Active Avoidance Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Shuttle Box Active Avoidance Learning (Two-Way Shuttle Box),Shuttle,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Jumping Active Avoidance Learning (One-Way Shuttle Box),,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,General Active Avoidance Learning,Active\W?Avoidance,phenotype,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Spatial Habituation Discrimination Learning Open-Field,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Spatial Discrimination Learning Y-Maze or T-Maze,Y\W?Maze|T\W?Maze,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Spatial Discrimination Learning in the Radial Arm Maze,Arm\W?Radial\W?Maze|Arm\W?Maze,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Visual Discrimination Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Spatial Discrimination Learning in the Water Maze,Water\W?Maze,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Active Allothetic Place Avoidance Task Discrimination Learning,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Olfactory Discrimination Learning,Odou?r,Vogel_assay_2008,,in-vivo phenotypic,MEMORY DISORDERS,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Automated Learning and Memory Model in Mice Conditioned-Response,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Learning Deficits After Postnatal Anoxia in Rats Conditioned-Response,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,General Conditioned Avoidance Response Learning,Conditioned\W?Avoidance,phenotype,,in-vivo phenotypic,MEMORY DISORDERS|AVOIDANCE LEARNING,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Long Term Potentiation in Vivo Bipolar-Stimulating-Electrodes Electrophysiological Learning Method,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
F,Drug Effects on Learning and Memory,Learning and Memory,Long Latency Averaged Potentials Electrophysiological Method for Memory-Enhancing drugs,,Vogel_assay_2008,,in-vivo phenotypic,,,,,
